-2	-2	0.0219379
-2	-1.9	0.024056
-2	-1.8	0.0263731
-2	-1.7	0.0289067
-2	-1.6	0.0316759
-2	-1.5	0.0347009
-2	-1.4	0.0380034
-2	-1.3	0.0416066
-2	-1.2	0.0455353
-2	-1.1	0.0498158
-2	-1	0.0544756
-2	-0.9	0.0595439
-2	-0.8	0.0650514
-2	-0.7	0.0710299
-2	-0.6	0.0775122
-2	-0.5	0.0845323
-2	-0.4	0.0921246
-2	-0.3	0.100324
-2	-0.2	0.109166
-2	-0.1	0.118684
-2	6.38378e-16	0.128912
-2	0.1	0.139881
-2	0.2	0.151621
-2	0.3	0.164159
-2	0.4	0.177516
-2	0.5	0.191711
-2	0.6	0.206756
-2	0.7	0.222656
-2	0.8	0.23941
-2	0.9	0.257007
-2	1	0.27543
-2	1.1	0.29465
-2	1.2	0.314628
-2	1.3	0.335317
-2	1.4	0.356659
-2	1.5	0.378585
-2	1.6	0.401019
-2	1.7	0.423875
-2	1.8	0.447062
-2	1.9	0.470482
-2	2	0.494032
-2	2.1	0.517609
-2	2.2	0.541107
-2	2.3	0.564424
-2	2.4	0.58746
-2	2.5	0.610119
-2	2.6	0.632312
-2	2.7	0.653959
-2	2.8	0.674986
-2	2.9	0.695331
-2	3	0.71494
-2	3.1	0.73377
-2	3.2	0.751788
-2	3.3	0.768971
-2	3.4	0.785304
-2	3.5	0.800781
-2	3.6	0.815405
-2	3.7	0.829184
-2	3.8	0.842134
-2	3.9	0.854275
-2	4	0.865631
-2	4.1	0.87623
-2	4.2	0.886103
-2	4.3	0.895283
-2	4.4	0.903803
-2	4.5	0.911699
-2	4.6	0.919004
-2	4.7	0.925754
-2	4.8	0.931984
-2	4.9	0.937725
-2	5	0.943012
-2	5.1	0.947875
-2	5.2	0.952344
-2	5.3	0.956447
-2	5.4	0.960212
-2	5.5	0.963664
-2	5.6	0.966826
-2	5.7	0.969722
-2	5.8	0.972373
-2	5.9	0.974797
-2	6	0.977014
-2	6.1	0.97904
-2	6.2	0.980891
-2	6.3	0.982581
-2	6.4	0.984124
-2	6.5	0.985533
-2	6.6	0.986818
-2	6.7	0.98799
-2	6.8	0.98906
-2	6.9	0.990035
-2	7	0.990924
-2	7.1	0.991734
-2	7.2	0.992473
-2	7.3	0.993146
-2	7.4	0.993759
-2	7.5	0.994318
-2	7.6	0.994826
-2	7.7	0.99529
-2	7.8	0.995712
-2	7.9	0.996097
-2	8	0.996447
-2	8.1	0.996766
-2	8.2	0.997056
